Activity_ID,Source_IP,Destination_IP,Protocol,Port,Bytes_Transferred,Connection_Type,User_Agent,Activity_Time,Threat_Level
782063c4-5d62-4967-94b0-aa8dda0d279e,66.121.199.57,12.38.57.39,ICMP,6353.0,8718.0,Incoming,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),2020-04-16 14:00:00,1
15926eac-ef4d-429a-b5b6-c8beff5317e4,47.18.115.148,187.117.145.176,ICMP,55777.0,1255.0,Outgoing,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.1),2023-01-17 08:00:00,1
85682670-b0b1-4c73-929f-b9a6d19c2be4,121.30.68.138,195.253.255.91,ICMP,52094.0,,Incoming,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/58.0.811.0 Safari/532.1",2021-04-16 00:00:00,1
948dc744-b69b-47b4-b2c8-9147a0711687,94.222.0.245,30.200.224.102,UDP,,,Incoming,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.1),2022-01-01 07:00:00,0
47bd1f3c-9c6b-42ce-84d3-63a2e55c74b8,116.89.78.44,34.40.172.245,UDP,19970.0,8456.0,Incoming,Mozilla/5.0 (Windows NT 6.2; nr-ZA; rv:1.9.0.20) Gecko/9993-03-02 15:05:06 Firefox/6.0,2022-06-20 17:00:00,0
cd170874-12cb-4632-a748-73bf984f6e8b,116.129.69.244,139.64.78.40,TCP,55698.0,4271.0,Outgoing,Opera/8.49.(X11; Linux i686; cmn-TW) Presto/2.9.190 Version/11.00,2022-06-17 04:00:00,0
2df23f66-84b1-4703-bf35-ad839380083a,32.143.127.244,10.151.0.252,TCP,50557.0,5685.0,Incoming,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/4.0),2021-07-17 04:00:00,0
59ae2c09-60cb-47b9-89c3-d416758d68b4,140.140.248.56,212.164.63.208,TCP,63783.0,9138.0,Incoming,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; brx-IN) AppleWebKit/535.4.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.4.3",2024-07-31 12:00:00,0
c34f2f99-742d-4054-b6a5-aa87499cac60,20.57.240.218,68.161.47.189,UDP,,4891.0,Outgoing,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; bho-IN) AppleWebKit/534.42.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.42.1",2022-02-06 12:00:00,0
da76a217-da38-43ec-a6a0-99f250d7a285,49.190.95.233,179.2.148.69,TCP,34144.0,,Outgoing,"Mozilla/5.0 (iPhone; CPU iPhone OS 1_1_5 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/39.0.888.0 Mobile/55S897 Safari/532.1",2020-11-05 12:00:00,0
5a7cc06b-a89b-41ad-bdea-743cd326ebe4,213.118.163.225,31.210.5.33,ICMP,38428.0,6865.0,Incoming,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/54.0.850.0 Mobile/59G676 Safari/534.2",2022-10-16 08:00:00,1
a66eb140-1291-4481-8a2b-088e6b236362,93.190.106.23,150.103.58.85,UDP,8756.0,279.0,Outgoing,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_4; rv:1.9.5.20) Gecko/6903-03-28 13:55:11 Firefox/15.0,2023-11-22 17:00:00,1
69eaf383-1df2-43f9-9355-4dc4b455d932,214.198.218.203,109.221.149.142,TCP,4337.0,231.0,Incoming,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0),2022-06-19 00:00:00,1
a04e0a19-590f-4720-bbac-38448f439a34,,131.40.174.133,TCP,9191.0,6647.0,Incoming,"Mozilla/5.0 (Linux; Android 5.1.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/57.0.807.0 Safari/532.2",2023-05-15 06:00:00,0
ccc3e76b-2ca2-4580-bbfa-2bc1d2b54e4e,133.247.95.148,137.1.13.204,UDP,64351.0,6555.0,Outgoing,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/18.0.886.0 Safari/535.1",2023-05-30 10:00:00,0
bab4f3a0-3336-475f-b021-2792ee591984,,45.158.81.85,TCP,56744.0,8734.0,Outgoing,Opera/9.53.(Windows NT 5.1; quz-PE) Presto/2.9.184 Version/12.00,2022-09-20 01:00:00,0
fdad9d56-ef6b-4138-b3e5-689e3a2a09f9,39.56.210.252,102.185.86.75,TCP,8691.0,2887.0,Incoming,Mozilla/5.0 (Android 4.0.2; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0,2023-01-14 15:00:00,1
117eab93-02b0-4125-8cc5-6e1fd3f3f712,26.94.23.254,143.171.108.205,TCP,61734.0,7505.0,Outgoing,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.25.5 (KHTML, like Gecko) Version/4.0.4 Safari/534.25.5",2020-09-23 18:00:00,0
737ea237-0f0c-4555-8b85-dbcd00ea991a,126.137.10.84,108.75.12.203,ICMP,36070.0,5553.0,Outgoing,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; gl-ES) AppleWebKit/534.38.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6534.38.2",2024-04-13 09:00:00,0
594b8421-9754-423f-9413-316ee84d01e0,216.116.157.206,151.190.123.36,UDP,60411.0,6396.0,Outgoing,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/5.0.2 Safari/532.44.3",2024-03-08 14:00:00,1
8e66d3e3-39cb-4018-a75d-9c3553017f31,162.50.69.4,7.249.84.235,UDP,42224.0,774.0,Outgoing,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.1),2020-01-25 14:00:00,1
3b685f5c-609e-4b4d-8bc2-ad0f4be02431,50.223.175.195,63.191.197.248,UDP,44931.0,5230.0,Outgoing,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.0),2023-12-19 14:00:00,1
5c705666-76b8-4039-8143-b7ae8e383b2d,30.122.245.131,148.17.113.148,TCP,42519.0,161.0,Incoming,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_6 rv:3.0; tl-PH) AppleWebKit/533.44.2 (KHTML, like Gecko) Version/4.0 Safari/533.44.2",2020-03-22 22:00:00,1
